145
20,12.142
20.5,12.103
21,10.728
21.5,10.575
22,10.422
22.5,10.269
23,10.118
23.5,9.186
24,9.169
24.5,9.149
25,9.127
25.5,9.099
26,9.071
26.5,9.043
27,9.010
27.5,8.975
28,8.936
28.5,8.894
29,8.851
29.5,8.827
30,8.818
30.5,8.809
31,8.796
31.5,8.779
32,8.758
32.5,8.736
33,8.714
33.5,8.689
34,8.662
34.5,8.635
35,8.606
35.5,8.576
36,8.546
36.5,8.517
37,8.489
37.5,8.460
38,8.428
38.5,8.396
39,8.362
39.5,8.328
40,8.293
40.5,8.257
41,8.229
41.5,8.196
42,8.161
42.5,8.126
43,8.089
43.5,8.053
44,8.015
44.5,7.979
45,7.948
45.5,7.913
46,7.877
46.5,7.840
47,7.802
47.5,7.764
48,7.727
48.5,7.694
49,7.659
49.5,7.623
50,7.585
50.5,7.547
51,7.508
51.5,7.475
52,7.440
52.5,7.404
53,7.366
53.5,7.328
54,7.292
54.5,7.256
55,7.220
55.5,7.184
56,7.147
56.5,7.109
57,7.071
57.5,7.035
58,7.000
58.5,6.965
59,6.928
59.5,6.890
60,6.854
60.5,6.818
61,6.782
61.5,6.746
62,6.710
62.5,6.72
63,6.635
63.5,6.599
64,6.564
64.5,6.528
65,6.491
65.5,6.454
66,6.416
66.5,6.381
67,6.346
67.5,6.310
68,6.273
68.5,6.236
69,6.200
69.5,6.164
70,6.128
70.5,6.091
71,6.054
71.5,6.016
72,5.981
72.5,5.945
73,5.908
73.5,5.871
74,5.834
74.5,5.797
75,5.761
75.5,5.724
76,5.687
76.5,5.649
77,5.612
77.5,5.576
78,5.538
78.5,5.501
79,5.463
79.5,5.426
80,5.388
80.5,5.350
81,5.312
81.5,5.274
82,5.236
82.5,5.197
83,5.159
83.5,5.121
84,5.082
84.5,5.043
85,5.003
85.5,4.965
86,4.926
86.5,4.885
87,4.845
87.5,4.806
88,4.767
88.5,4.727
89,4.686
89.5,4.645
90,4.629
90.5,4.626
91,4.622
91.5,4.617
92,4.609



3
67,6.4
104,4.4
44,8


1
67,6.4
